,Crop,Crop_Year,Area,Production
659,Onion,2005,437049.12,5597161.99
660,Onion,2006,375943.72,4203156
661,Onion,2007,456683.96,5678512.3
662,Onion,2008,382183,4535587.5
663,Onion,2009,432348,4339183
664,Onion,2010,411573,5497540
665,Onion,2011,427636,6067070
666,Onion,2012,238740,3274637
667,Onion,2013,324570,4096647.4
668,Onion,2014,269613,2325083
669,Orange,2002,59219,802476
670,Orange,2003,83165,793030
671,Orange,2011,14938,172501
672,Orange,2012,16449,179637
673,Orange,2013,15669,188781
674,Orange,2014,15761,202378
675,Other  Rabi pulses,1997,247790,151786
676,Other  Rabi pulses,1998,829405,605529
677,Other  Rabi pulses,1999,1135582,598082
678,Other  Rabi pulses,2000,1000756,438016
679,Other  Rabi pulses,2001,1084289,535351
680,Other  Rabi pulses,2002,1015574,432310
681,Other  Rabi pulses,2003,961188,474658
682,Other  Rabi pulses,2004,295668,163655
683,Other  Rabi pulses,2005,180677,106286
684,Other  Rabi pulses,2006,535121,480178
685,Other  Rabi pulses,2007,417354,360721.2
686,Other  Rabi pulses,2008,74660,48187.4
687,Other  Rabi pulses,2009,84622,58771
688,Other  Rabi pulses,2010,69217,53053
689,Other  Rabi pulses,2011,181354,94270
690,Other  Rabi pulses,2012,170828,82075
691,Other  Rabi pulses,2013,148629,79726.8
692,Other  Rabi pulses,2014,144381,76521
693,Other Cereals & Millets,1998,155200,101414
694,Other Cereals & Millets,1999,11400,3300
695,Other Cereals & Millets,2000,106777,82681
696,Other Cereals & Millets,2001,8624,3387
697,Other Cereals & Millets,2002,9325,2968
698,Other Cereals & Millets,2003,78377,88032
699,Other Cereals & Millets,2004,187189,148128
700,Other Cereals & Millets,2005,111910,110068.5
701,Other Cereals & Millets,2006,65362,73928
702,Other Cereals & Millets,2007,144682,169400.1
703,Other Cereals & Millets,2008,121971,138030
704,Other Cereals & Millets,2009,50231,40994
705,Other Cereals & Millets,2010,108567,123624
706,Other Cereals & Millets,2011,69777,63869
707,Other Cereals & Millets,2012,46931,42032
708,Other Cereals & Millets,2014,2331,1330.1
709,Other Citrus Fruit,2002,1605,0
710,Other Citrus Fruit,2003,2650,0
711,Other Dry Fruit,2003,7,0
712,Other Fresh Fruits,2002,131161,148029
713,Other Fresh Fruits,2003,136833,161771
714,Other Fresh Fruits,2013,3839,41039
715,Other Fresh Fruits,2014,4566,48604
716,Other Kharif pulses,1997,94654,72625
717,Other Kharif pulses,1998,478167,199466
718,Other Kharif pulses,1999,1130963,330198
719,Other Kharif pulses,2000,1496118,426234
720,Other Kharif pulses,2001,1124130,379980
721,Other Kharif pulses,2002,1308053,352858
722,Other Kharif pulses,2003,1323142,482706
723,Other Kharif pulses,2004,674731,230165.18
724,Other Kharif pulses,2005,447416,154571.4
725,Other Kharif pulses,2006,929953,518891
726,Other Kharif pulses,2007,356284,207445.2
727,Other Kharif pulses,2008,311119,202346
728,Other Kharif pulses,2009,300488,140227
729,Other Kharif pulses,2010,278997,186229
730,Other Kharif pulses,2011,230477,144326
731,Other Kharif pulses,2012,195442,113955
732,Other Kharif pulses,2013,218716,128927
733,Other Kharif pulses,2014,180837,115282.6
734,Other Kharif pulses,2015,2766,2698
735,Other Vegetables,2002,231375,437509
736,Other Vegetables,2003,231644,363782
737,Other Vegetables,2013,7004,79920
738,Other Vegetables,2014,7188,82001
739,Paddy,1997,7885677,12551503
740,Paddy,2011,2545707,4715678
741,Paddy,2012,2099147,3981629
742,Paddy,2013,2510641,5230946
743,Paddy,2014,2495297,5222645
744,Papaya,2002,35824,1006439
745,Papaya,2003,33406,649121
746,Papaya,2011,7321,145451
747,Papaya,2012,30305,939491
748,Papaya,2013,12763,604168
749,Papaya,2014,13425,577851
750,Peach,2002,19,0
751,Peach,2003,23,0
752,Pear,2002,1296,0
753,Pear,2003,1380,0
