,Crop_Year,Season,Crop,Area,Production
471,2000,Kharif     ,other misc. pulses,8578,2545
472,2000,Kharif     ,other oilseeds,88,38
473,2000,Rabi       ,Arhar/Tur,6148,2731
474,2000,Rabi       ,Bajra,14389,12653
475,2000,Rabi       ,Barley,763969,1418342
476,2000,Rabi       ,Castor seed,8650,3940
477,2000,Rabi       ,Dry chillies,54262,115528
478,2000,Rabi       ,Gram,5185876,3857634
479,2000,Rabi       ,Groundnut,460785,657398
480,2000,Rabi       ,Horse-gram,202313,79113
481,2000,Rabi       ,Jowar,4941106,2845338
482,2000,Rabi       ,Khesari,447916,294629
483,2000,Rabi       ,Korra,237,170
484,2000,Rabi       ,Linseed,487509,168287.6
485,2000,Rabi       ,Maize,429852,1274371
486,2000,Rabi       ,Masoor,960734,694100.5
487,2000,Rabi       ,Moong(Green Gram),384082,179389.1
488,2000,Rabi       ,Niger seed,31500,9030
489,2000,Rabi       ,Onion,13248,308617
490,2000,Rabi       ,Other  Rabi pulses,1000756,438016
491,2000,Rabi       ,Other Cereals & Millets,3297,2853
492,2000,Rabi       ,Peas & beans (Pulses),398367,412719
493,2000,Rabi       ,Potato,6473,148125
494,2000,Rabi       ,Ragi,44224,52308
495,2000,Rabi       ,Rapeseed &Mustard,3982362,3699286.4
496,2000,Rabi       ,Rice,1301353,4359950
497,2000,Rabi       ,Safflower,408529,202519.4
498,2000,Rabi       ,Samai,135,78
499,2000,Rabi       ,Sesamum,44366,9793
500,2000,Rabi       ,Small millets,6348,3960
501,2000,Rabi       ,Sunflower,458556,218115
502,2000,Rabi       ,Urad,554164,408625.2
503,2000,Rabi       ,Varagu,1589,1201
504,2000,Rabi       ,Wheat,25625749,69485629.9
505,2000,Rabi       ,other misc. pulses,3628,487
506,2000,Rabi       ,other oilseeds,857,700
507,2000,Summer     ,Bajra,142913,273198
508,2000,Summer     ,Groundnut,144741,207133
509,2000,Summer     ,Jowar,5878,11916
510,2000,Summer     ,Maize,167211,492150
511,2000,Summer     ,Moong(Green Gram),8197,4809
512,2000,Summer     ,Ragi,10781,21376
513,2000,Summer     ,Rice,2461348,7047502
514,2000,Summer     ,Sunflower,37399,25605
515,2000,Whole Year ,Arecanut,298974,345715
516,2000,Whole Year ,Banana,299410,6616889
517,2000,Whole Year ,Black pepper,211034,79328
518,2000,Whole Year ,Cardamom,63313,11058
519,2000,Whole Year ,Cashewnut,326562,119725
520,2000,Whole Year ,Coconut ,1437242,6880408107
521,2000,Whole Year ,Coriander,346681,228821
522,2000,Whole Year ,Dry chillies,497057,383947
523,2000,Whole Year ,Dry ginger,22374,102993
524,2000,Whole Year ,Garlic,51837,155232
525,2000,Whole Year ,Guar seed,3331472,541833
526,2000,Whole Year ,Oilseeds total,32561,31759
527,2000,Whole Year ,Onion,258366,1950955
528,2000,Whole Year ,Potato,1061527,20047163.9
529,2000,Whole Year ,Pulses total,6202,6780
530,2000,Whole Year ,Sannhamp,35749,70180
531,2000,Whole Year ,Sesamum,107161,92276
532,2000,Whole Year ,Sugarcane,4327093,296025938.3
533,2000,Whole Year ,Sweet potato,67660,474245
534,2000,Whole Year ,Tapioca,254337,6825440
535,2000,Whole Year ,Tea,620,2670
536,2000,Whole Year ,Tobacco,249139,328553
537,2000,Whole Year ,Turmeric,174698,684142
538,2000,Whole Year ,other oilseeds,133,55
539,2000,Winter     ,Gram,140,140
540,2000,Winter     ,Niger seed,30,30
541,2000,Winter     ,Rice,8951460,14006418
542,2000,Winter     ,Sugarcane,1422,92430
543,2000,Winter     ,Wheat,710,1500
544,2001,Autumn     ,Maize,244793,396864
545,2001,Autumn     ,Rice,3809760,5809491
546,2001,Kharif     ,Arecanut,4354,7300
547,2001,Kharif     ,Arhar/Tur,3298700,2243767.1
548,2001,Kharif     ,Bajra,9362864,8004092
549,2001,Kharif     ,Banana,15,300
550,2001,Kharif     ,Barley,27,7
551,2001,Kharif     ,Castor seed,681003,639819.01
552,2001,Kharif     ,Coconut ,180,450
553,2001,Kharif     ,Cotton(lint),9038620,9838451
554,2001,Kharif     ,Dry chillies,170661,463307
555,2001,Kharif     ,Dry ginger,51171,259350
556,2001,Kharif     ,Gram,91,101
557,2001,Kharif     ,Groundnut,5828324,6363853.4
558,2001,Kharif     ,Horse-gram,342286,150538.1
559,2001,Kharif     ,Jowar,4534120,4320625
560,2001,Kharif     ,Jute,871600,10527107
561,2001,Kharif     ,Jute & mesta,2980,25400
562,2001,Kharif     ,Korra,26049,18285
563,2001,Kharif     ,Maize,5510485,10455136.5
564,2001,Kharif     ,Masoor,751,278
565,2001,Kharif     ,Mesta,119488,919744
566,2001,Kharif     ,Moong(Green Gram),2600777.5,890582.3
567,2001,Kharif     ,Moth,1349749,324739.6
568,2001,Kharif     ,Niger seed,525597,189220.06
569,2001,Kharif     ,Onion,17736,234978
570,2001,Kharif     ,Other Cereals & Millets,7411,2004
571,2001,Kharif     ,Other Kharif pulses,1124130,379980
572,2001,Kharif     ,Peas & beans (Pulses),11384.9,15739.1
573,2001,Kharif     ,Potato,7761,155501
574,2001,Kharif     ,Ragi,1524487,2242799.8
