,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
1846,Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,Rice,244655,628606,2.569356849
1854,Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,Maize,4266,20652,4.841068917
1858,Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,Rice,161551,645162,3.993550024
1864,Andhra Pradesh,EAST GODAVARI,1999,Whole Year ,Sugarcane,15657,1425465,91.04330331
1882,Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,Rice,253966,683423,2.691001945
1895,Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Maize,4108,22117,5.383885102
1901,Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Rice,162861,683202,4.195000645
1903,Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Urad,60611,41034,0.677005824
1905,Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,Banana,11043,124386,11.26378701
1907,Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,Coconut ,48237,588584535,12201.93078
1909,Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,Sugarcane,14772,1313615,88.92600867
1911,Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,Tapioca,20435,159148,7.788010766
1929,Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,220811,579850,2.626001422
1945,Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,165779,750150,4.525000151
1951,Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Banana,10258,122822,11.97328914
1953,Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Coconut ,48515,629772990,12980.99536
1955,Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Sugarcane,14255,1282665,89.98000702
1957,Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Tapioca,16781,140038,8.345033073
1974,Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,Rice,194809,551115,2.82900174
1984,Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,Maize,5975,41407,6.930041841
1989,Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,Rice,106427,491906,4.622003815
1993,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Banana,7949,116270,14.62699711
1997,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Brinjal,1889,21378,11.31709899
2001,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Coconut ,49479,685943720,13863.3303
2004,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Mango,18957,92583,4.88384238
2010,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Sugarcane,15425,1269570,82.30599676
2012,Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Tapioca,12264,74651,6.087002609
2018,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Cotton(lint),8969,26696,2.976474523
2030,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Rice,234673,762453,3.249001803
2040,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Maize,6392,35795,5.599968711
2041,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Moong(Green Gram),67539,19654,0.291002236
2045,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Rice,165321,869092,5.256996994
2047,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Urad,51066,17975,0.351995457
2049,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Banana,9547,67488,7.069026919
2053,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Brinjal,2783,66647,23.94789795
2057,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Coconut ,48854,683171460,13983.94113
2060,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Mango,19181,47363,2.469266462
2066,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Sugarcane,16285,1397774,85.83199263
2068,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Tapioca,18768,117826,6.278026428
2069,Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Tobacco,6672,20151,3.020233813
2074,Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Cotton(lint),16022,45616,2.847085258
2085,Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Rice,224521,743614,3.312001995
2095,Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Maize,6094,41080,6.741056777
2100,Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Rice,162903,766296,4.704001768
2104,Andhra Pradesh,EAST GODAVARI,2004,Whole Year ,Banana,10324,96684,9.364974816
2106,Andhra Pradesh,EAST GODAVARI,2004,Whole Year ,Coconut ,49381,674125653,13651.51886
2108,Andhra Pradesh,EAST GODAVARI,2004,Whole Year ,Sugarcane,15965,1356801,84.98596931
2110,Andhra Pradesh,EAST GODAVARI,2004,Whole Year ,Tapioca,19300,142087,7.362020725
2127,Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,Rice,217411,348727,1.603998878
2138,Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Maize,7838,59349,7.571957132
2143,Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Rice,170012,800927,4.711002753
2147,Andhra Pradesh,EAST GODAVARI,2005,Whole Year ,Banana,15432,215971,13.99501037
2149,Andhra Pradesh,EAST GODAVARI,2005,Whole Year ,Coconut ,49692,369060890,7426.967922
2152,Andhra Pradesh,EAST GODAVARI,2005,Whole Year ,Sugarcane,18422,1465857,79.57100206
2155,Andhra Pradesh,EAST GODAVARI,2005,Whole Year ,Tapioca,14660,122382,8.348021828
2160,Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Cotton(lint),9034,19397,2.147110914
2171,Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Rice,227930,547716,2.403000921
2182,Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,Maize,6191,61867,9.993054434
2187,Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,Rice,168963,845829,5.006001314
2191,Andhra Pradesh,EAST GODAVARI,2006,Whole Year ,Banana,16772,295690,17.62997854
